ID_UBICACION;MARCA;STOCK_TOTAL;VALOR_STOCK_€;CLASES;DIAS_MAX;OCUPACION_%;DETALLE_CONTENIDO
CLAGD/Stock/StorageGD/CLA-031-17-01-03;GOLD;752;0.00;B+A+D;444;10;[TECPLV004] 51u (444d) | [TECPLV005] 14u (444d) | [BWMEPLV001-BLACK] 92u (302d) | [COMEPLV001-WHIT] 182u (302d) | [COMEPLV005-WHIT] 124u (302d) | [COMEPLV008-WHIT] 242u (302d) | [COMEPLV014-WHITE] 39u (302d) | [COMEPLV015-WHITE] 4u (302d) | [OSMEPLV001-WHIT] 4u (302d)
CLAGD/Stock/StorageGD/CLA-040-01-01-01;GOLD;125;0.00;C+B+A+D;1299;80;[LI230610-0011-33] 1u (1299d) | [LI230610-0011-31] 1u (1299d) | [LI230610-0207-30] 1u (1060d) | [LI230609-0043-32] 1u (1299d) | [LI230614-0043-31] 1u (1291d) | [LI230609-0043-31] 1u (1299d) | [LI230609-0011-28] 1u (1061d) | [LI230610-0207-31] 1u (1060d) | [LI230610-0207-29] 1u (1060d) | [LI230611-0064-33] 1u (1291d) | [LI230609-0043-28] 2u (1299d) | [LI230609-0043-33] 1u (1299d) | [LI230614-0043-28] 1u (1291d) | [LI230613-0054-33] 1u (1061d) | [BJSH543001-BLAC-41] 10u (389d) | [COSH542020-NAVY-33] 10u (432d) | [COSH542020-TAUP-35] 30u (432d) | [NV128325-0001-36] 30u (725d) | [MV231601-0020-37] 3u (1073d) | [MV231601-0020-36] 4u (1073d) | [MV231601-0020-38] 1u (1073d) | [MV231601-0020-39] 1u (1073d) | [MV231605-0020-36] 1u (1061d) | [MV231601-0020-41] 1u (1073d) | [MV231601-0020-38] 1u (1073d) | [MV231601-0020-37] 2u (1073d) | [MV231601-0020-41] 2u (1073d) | [MV231611-0020-36] 1u (761d) | [MV231601-0020-36] 1u (1073d) | [COSH200001-NAVY-25] 12u (520d)
CLAGD/Stock/StorageGD/CLA-040-01-01-02;GOLD;34;0.00;C+D;620;30;[COSH285038-GOLD-27] 1u (408d) | [COSH285038-GOLD-28] 1u (408d) | [COSH285038-GOLD-29] 1u (408d) | [COSH285038-GOLD-30] 2u (408d) | [COSH285038-GOLD-31] 2u (408d) | [COSH285038-GOLD-32] 2u (408d) | [COSH285038-GOLD-33] 1u (408d) | [COSH285038-GOLD-34] 1u (408d) | [COSH285038-GOLD-35] 1u (408d) | [BJSH328029-BLAC-40] 12u (620d) | [COSH200002-NAVY-30] 10u (123d)
CLAGD/Stock/StorageGD/CLA-040-01-01-03;GOLD;40;0.00;A+B;432;40;[COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-33] 10u (432d) | [BJSH543008-BLAC-33] 10u (374d)
CLAGD/Stock/StorageGD/CLA-040-01-02-02;GOLD;17;0.00;B+D+C;487;20;[COSH542020-NAVY-24] 8u (432d) | [BWSH368005-MULT-36] 1u (487d) | [BWSH368005-MULT-37] 2u (487d) | [BWSH368005-MULT-38] 2u (487d) | [BWSH368005-MULT-39] 2u (487d) | [BWSH368005-MULT-40] 1u (487d) | [BWSH368005-MULT-41] 1u (487d)
CLAGD/Stock/StorageGD/CLA-040-01-03-03;GOLD;100;0.00;B+D+A;432;100;[COSH200006-NAVY-33] 10u (220d) | [COSH200006-NAVY-31] 10u (220d) | [COSH200001-NAVY-35] 10u (220d) | [COSH200001-NAVY-35] 10u (220d) | [COSH200001-NAVY-35] 10u (220d) | [COSH200001-NAVY-34] 10u (220d) | [COSH542020-TAUP-26] 10u (432d) | [COSH542020-TAUP-26] 10u (432d) | [COSH542020-TAUP-26] 10u (432d) | [COSH542020-TAUP-22] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-02-01-01;GOLD;56;0.00;B+C+D+A;1073;50;[MV231601-0020-39] 3u (380d) | [MV231605-0020-37] 1u (380d) | [MV231601-0020-41] 3u (380d) | [MV231601-0020-36] 1u (380d) | [MV231601-0020-38] 2u (380d) | [JVK25102-0121-38] 1u (380d) | [MV231601-0020-40] 1u (380d) | [MV231601-0020-37] 2u (380d) | [COSH542020-NAVY-36] 10u (432d) | [COSH542020-NAVY-33] 10u (432d) | [BJSH542090-BLAC-39] 10u (354d) | [MV231601-0020-41] 2u (1073d) | [MV231601-0020-38] 3u (1073d) | [MV231601-0020-37] 2u (1073d) | [MV231601-0020-36] 1u (1073d) | [MV231611-0020-38] 1u (725d) | [MV231601-0020-40] 2u (1073d) | [MV231601-0020-39] 1u (1073d)
CLAGD/Stock/StorageGD/CLA-040-02-01-02;GOLD;99;0.00;B+D;1319;110;[KI229004-0022-36] 1u (579d) | [KI229004-0022-37] 2u (579d) | [KI229004-0022-38] 2u (579d) | [KI229004-0022-39] 2u (579d) | [KI229004-0022-40] 1u (579d) | [KI229004-0022-41] 1u (579d) | [KI229004-0022-36] 1u (579d) | [KI229004-0022-37] 2u (579d) | [KI229004-0022-38] 2u (579d) | [KI229004-0022-39] 2u (579d) | [KI229004-0022-40] 1u (579d) | [KI229004-0022-41] 1u (579d) | [KI229004-0020-36] 1u (579d) | [KI229004-0020-37] 2u (579d) | [KI229004-0020-38] 2u (579d) | [KI229004-0020-39] 2u (579d) | [KI229004-0020-40] 1u (579d) | [KI229004-0020-41] 1u (579d) | [KI229004-0022-36] 1u (579d) | [KI229004-0022-37] 2u (579d) | [KI229004-0022-38] 2u (579d) | [KI229004-0022-39] 2u (579d) | [KI229004-0022-40] 1u (579d) | [KI229004-0022-41] 1u (579d) | [KI229004-0022-36] 1u (579d) | [KI229004-0022-37] 2u (579d) | [KI229004-0022-38] 2u (579d) | [KI229004-0022-39] 2u (579d) | [KI229004-0022-40] 1u (579d) | [KI229004-0022-41] 1u (579d) | [KI229004-0022-36] 1u (361d) | [KI229004-0022-37] 2u (361d) | [KI229004-0022-38] 2u (361d) | [KI229004-0022-39] 2u (361d) | [KI229004-0022-40] 1u (361d) | [KI229004-0022-41] 1u (361d) | [KI229004-0020-36] 1u (579d) | [KI229004-0020-37] 2u (579d) | [KI229004-0020-38] 2u (579d) | [KI229004-0020-39] 2u (579d) | [KI229004-0020-40] 1u (579d) | [KI229004-0020-41] 1u (579d) | [KI229004-0020-36] 1u (361d) | [KI229004-0020-37] 2u (361d) | [KI229004-0020-38] 2u (361d) | [KI229004-0020-39] 2u (361d) | [KI229004-0020-40] 1u (361d) | [KI229004-0020-41] 1u (361d) | [KI229004-0020-36] 1u (579d) | [KI229004-0020-37] 2u (579d) | [KI229004-0020-38] 2u (579d) | [KI229004-0020-39] 2u (579d) | [KI229004-0020-40] 1u (579d) | [KI229004-0020-41] 1u (579d) | [KI229004-0022-38] 3u (915d) | [KI229004-0022-37] 2u (1319d) | [KI229004-0022-36] 1u (915d) | [TESH516004-BEIGE-20] 2u (142d) | [TESH516004-BEIGE-21] 2u (142d) | [TESH516004-BEIGE-22] 2u (142d) | [TESH516004-BEIGE-23] 2u (142d) | [TESH516004-BEIGE-24] 2u (142d) | [TESH516004-BEIGE-25] 2u (142d)
CLAGD/Stock/StorageGD/CLA-040-02-01-03;GOLD;65;0.00;B;1319;50;[KI229004-0020-37] 2u (585d) | [KI229004-0020-39] 3u (585d) | [KI229004-0020-38] 3u (585d) | [KI229004-0020-36] 6u (585d) | [KI229004-0022-37] 6u (1319d) | [KI229004-0022-36] 2u (915d) | [KI229004-0022-39] 5u (915d) | [KI229004-0022-38] 2u (915d) | [KI229004-0020-36] 5u (585d) | [KI229004-0020-37] 8u (585d) | [KI229004-0020-38] 1u (585d) | [KI229004-0020-39] 1u (585d) | [KI229004-0022-39] 3u (915d) | [KI229004-0022-38] 4u (915d) | [KI229004-0022-36] 4u (915d) | [KI229004-0022-37] 3u (1319d) | [KI229004-0022-41] 1u (915d) | [KI229004-0020-37] 3u (585d) | [KI229004-0020-36] 1u (585d) | [KI229004-0022-37] 1u (1319d) | [KI229004-0022-36] 1u (915d)
CLAGD/Stock/StorageGD/CLA-040-02-02-01;GOLD;70;0.00;B+A;438;70;[COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH542020-NAVY-34] 10u (432d) | [COSH264004-NAVY-33] 10u (438d) | [COSH542020-NAVY-33] 10u (432d) | [COSH542020-NAVY-33] 10u (432d)
