ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLAGD/Stock/StorageGD/CLA-031-17-01-03;GENERIC;I24+I23+V23;752;5.52;B+A+D;446;10;[TECPLV005] 14u (I24) 446d | [COMEPLV015-WHITE] 4u (I24) 304d;[TECPLV004] 51u (I24) 446d | [BWMEPLV001-BLACK] 92u (I24) 304d | [COMEPLV001-WHIT] 182u (I23) 304d | [COMEPLV005-WHIT] 124u (I23) 304d | [COMEPLV008-WHIT] 242u (V23) 304d | [COMEPLV014-WHITE] 39u (I24) 304d;;[OSMEPLV001-WHIT] 4u (I23) 304d
CLAGD/Stock/StorageGD/CLA-031-19-01-02;GENERIC;I25;335;0.00;D;130;20;;;;[BWMEPLV006] 82u (I25) 130d | [TEMEPLV010] 253u (I25) 130d
CLAGD/Stock/StorageGD/CLA-041-08-01-02;GOLD;I24+V25;291;0.00;B+C+D;482;300;;[COTXJOG015-PINK-10A] 11u (I24) 482d | [COTXDRE020-NAVY-6A] 9u (I24) 482d | [COTXDRE020-NAVY-6A] 9u (I24) 482d | [COTXDRE020-NAVY-4A] 9u (I24) 482d | [COTXTSH040-OFFW-10A] 12u (I24) 482d | [COTXTSH040-OFFW-8A] 12u (I24) 482d;[COTXTSH044-WHIT-8A] 10u (V25) 279d | [COTXTSH044-WHIT-12A] 10u (V25) 279d | [COTXTSH040-OFFW-5A] 12u (I24) 482d;[COTXTSH044-WHIT-6A] 10u (V25) 279d | [COTXTSH044-WHIT-6A] 10u (V25) 279d | [COTXTSH044-WHIT-6A] 10u (V25) 279d | [COTXTSH044-WHIT-5A] 9u (V25) 279d | [COTXTSH044-WHIT-4A] 10u (V25) 279d | [COTXTSH047-WHIT-8A] 10u (V25) 279d | [COTXTSH047-WHIT-8A] 10u (V25) 279d | [COTXTSH047-WHIT-8A] 10u (V25) 279d | [COTXTSH047-WHIT-6A] 10u (V25) 279d | [COTXTSH047-WHIT-6A] 9u (V25) 279d | [COTXTSH047-WHIT-6A] 10u (V25) 279d | [COTXTSH047-WHIT-5A] 10u (V25) 279d | [COTXTSH047-WHIT-4A] 10u (V25) 279d | [COTXTSH047-WHIT-12A] 9u (V25) 279d | [COTXTSH051-WHIT-6A] 10u (V25) 279d | [COTXTSH051-WHIT-4A] 10u (V25) 279d | [COTXTSH051-WHIT-10A] 10u (V25) 279d | [COTXJOG020-BEIG-8A] 10u (V25) 279d | [COTXJOG020-BEIG-5A] 5u (V25) 279d | [COTXJOG020-BEIG-12A] 5u (V25) 279d | [COTXDRE032-BLUE-6A] 10u (V25) 279d
CLAGD/Stock/StorageGD/CLA-072-16-03-02;GOLD;I25;290;0.00;C+A;174;290;[TESH501001-TAUP-25] 10u (I25) 174d | [TESH501001-TAUP-20] 10u (I25) 174d | [TESH501001-BEIG-24] 10u (I25) 174d | [TESH501001-BEIG-24] 10u (I25) 174d | [TESH501001-BEIG-23] 10u (I25) 174d | [TESH501001-BEIG-23] 10u (I25) 174d | [TESH501001-BEIG-23] 10u (I25) 174d | [TESH501001-BEIG-22] 10u (I25) 174d | [TESH501001-BEIG-21] 10u (I25) 174d | [TESH501001-BEIG-21] 10u (I25) 174d | [TESH501001-BEIG-21] 10u (I25) 174d | [TESH501001-BEIG-21] 10u (I25) 174d | [TESH501001-BEIG-21] 10u (I25) 174d | [TESH501001-BEIG-20] 10u (I25) 174d;;[TESH501002-BRON-25] 10u (I25) 174d | [TESH501002-BRON-25] 10u (I25) 174d | [TESH501002-BRON-24] 10u (I25) 174d | [TESH501002-BRON-24] 10u (I25) 174d | [TESH501002-BRON-23] 10u (I25) 174d | [TESH501002-BRON-23] 10u (I25) 174d | [TESH501002-BRON-22] 10u (I25) 174d | [TESH501002-BRON-22] 10u (I25) 174d | [TESH501002-BRON-22] 10u (I25) 174d | [TESH501002-BRON-22] 10u (I25) 174d | [TESH501002-BRON-21] 10u (I25) 174d | [TESH501002-BRON-21] 10u (I25) 174d | [TESH501002-BRON-20] 10u (I25) 174d | [TESH501002-BRON-20] 10u (I25) 174d | [TESH501002-BRON-20] 10u (I25) 174d;
CLAGD/Stock/StorageGD/CLA-031-18-03-02;GENERIC;I25;271;0.00;D;130;10;;;;[BWMEPLV004] 271u (I25) 130d
CLAGD/Stock/StorageGD/CLA-031-12-01-02;GOLD;I25;260;0.00;C+B;144;260;;[TESH500017-SILV-21] 10u (I25) 144d | [TESH500017-SILV-20] 10u (I25) 144d | [TESH500017-SILV-20] 10u (I25) 144d | [TESH500017-PINK-23] 10u (I25) 144d | [TESH500017-PINK-23] 10u (I25) 144d | [TESH500017-PINK-20] 10u (I25) 144d | [TESH500017-PINK-20] 10u (I25) 144d | [TESH500017-PINK-20] 10u (I25) 144d;[TESH500017-SILV-22] 10u (I25) 144d | [TESH500017-PINK-24] 10u (I25) 144d | [TESH500017-PINK-24] 10u (I25) 144d | [TESH500017-PINK-24] 10u (I25) 144d | [TESH500017-PINK-22] 10u (I25) 144d | [TESH500017-PINK-22] 10u (I25) 144d | [TESH500017-PINK-22] 10u (I25) 144d | [TESH500017-PINK-22] 10u (I25) 144d | [TESH500017-PINK-21] 10u (I25) 144d | [TESH500017-PINK-21] 10u (I25) 144d | [TESH500017-PINK-21] 10u (I25) 144d | [TESH500016-BEIG-25] 10u (I25) 144d | [TESH500016-BEIG-23] 10u (I25) 144d | [TESH500016-BEIG-22] 10u (I25) 144d | [TESH500016-BEIG-21] 10u (I25) 144d | [TESH500016-BEIG-21] 10u (I25) 144d | [TESH500016-BEIG-21] 10u (I25) 144d | [TESH500016-BEIG-20] 10u (I25) 144d;
CLAGD/Stock/StorageGD/CLA-041-07-01-02;GOLD;I24+I25;251;0.00;B+C+A+D;482;250;[COTXJOG015-BLAC-10A] 8u (I24) 110d | [COTXJOG016-BLAC-8A] 15u (I24) 110d;[COTXSWE013-BLAC-10A] 12u (I24) 482d | [COTXHOD014-GREY-8A] 9u (I24) 482d | [COTXHOD014-GREY-8A] 9u (I24) 482d | [COTXHOD014-GREY-6A] 9u (I24) 482d | [COTXHOD014-GREY-6A] 8u (I24) 482d | [COTXHOD014-GREY-6A] 8u (I24) 482d | [COTXSKI019-NAVY-12A] 12u (I24) 482d | [COTXSKI019-NAVY-10A] 12u (I24) 482d | [COTXSKI019-NAVY-10A] 12u (I24) 482d | [COTXSKI019-NAVY-6A] 12u (I24) 482d | [COTXSKI019-NAVY-6A] 12u (I24) 482d | [COTXSKI019-NAVY-6A] 11u (I24) 482d | [COTXSKI019-NAVY-5A] 11u (I24) 482d | [COTXJOG016-PINK-5A] 8u (I24) 110d | [COTXJOG016-PINK-12A] 8u (I24) 110d | [COTXJOG016-PINK-10A] 12u (I24) 110d | [COTXJOG015-BLAC-6A] 8u (I24) 110d;[COTXHOD014-GREY-12A] 8u (I24) 482d | [COTXJOG015-BLAC-5A] 8u (I24) 110d | [COTXTSH057-OFFW-8A] 10u (I25) 110d | [COTXTSH057-OFFW-6A] 10u (I25) 110d | [COTXTSH055-OFFW-8A] 10u (I25) 110d;[COTXTSH057-OFFW-4A] 9u (I25) 110d
CLAGD/Stock/StorageGD/CLA-031-13-01-02;GOLD;I25;250;0.00;C+B;144;250;;[TESH500019-PINK-22] 10u (I25) 144d | [TESH500019-NAVY-23] 10u (I25) 144d | [TESH500015-OFFW-25] 10u (I25) 144d | [TESH500015-OFFW-25] 10u (I25) 144d | [TESH500015-OFFW-23] 10u (I25) 144d | [TESH500015-OFFW-23] 10u (I25) 144d | [TESH500015-OFFW-23] 10u (I25) 144d | [TESH500015-OFFW-22] 10u (I25) 144d | [TESH500015-OFFW-22] 10u (I25) 144d | [TESH500015-OFFW-22] 10u (I25) 144d | [TESH500015-OFFW-21] 10u (I25) 144d | [TESH500015-OFFW-21] 10u (I25) 144d | [TESH500015-OFFW-21] 10u (I25) 144d | [TESH500015-OFFW-20] 10u (I25) 144d | [TESH500015-OFFW-20] 10u (I25) 144d | [TESH500015-OFFW-20] 10u (I25) 144d | [TESH500015-BLAC-25] 10u (I25) 144d | [TESH500015-BLAC-25] 10u (I25) 144d | [TESH500015-BLAC-24] 10u (I25) 144d | [TESH500015-BLAC-23] 10u (I25) 144d;[TESH500019-SILVER-24] 10u (I25) 144d | [TESH500016-BEIG-22] 10u (I25) 144d | [TESH500015-BLAC-22] 10u (I25) 144d | [TESH500015-BLAC-21] 10u (I25) 144d | [TESH500015-BLAC-20] 10u (I25) 144d;
CLAGD/Stock/StorageGD/CLA-047-07-02-02;GOLD;I25;250;1596.20;B+C+D;214;250;;[COSH249006-NAVY-30] 10u (I25) 214d | [COSH249005-PINK-30] 10u (I25) 214d | [COSH249005-PINK-30] 10u (I25) 214d | [COSH249005-PINK-30] 10u (I25) 214d | [COSH249005-PINK-30] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-28] 10u (I25) 214d | [COSH249005-PINK-27] 10u (I25) 214d | [COSH249005-PINK-27] 10u (I25) 214d | [COSH249005-PINK-27] 10u (I25) 214d | [COSH249005-PINK-26] 10u (I25) 214d | [COSH249005-NAVY-30] 10u (I25) 214d | [COSH249005-NAVY-28] 10u (I25) 214d | [COSH249005-GREY-30] 10u (I25) 214d | [COSH249005-GREY-30] 10u (I25) 214d | [COSH249005-GREY-28] 10u (I25) 214d;[COSH249006-NAVY-29] 10u (I25) 214d;[COSH249005-PINK-29] 10u (I25) 214d | [COSH249005-PINK-29] 10u (I25) 214d | [COSH249005-PINK-29] 10u (I25) 214d | [COSH249005-PINK-29] 10u (I25) 214d
CLAGD/Stock/StorageGD/CLA-041-08-01-03;GOLD;I24+V25+I25;240;0.00;C+B+D;482;240;;[COTXDRE024-GREY-6A] 12u (I24) 482d | [COTXDRE020-NAVY-8A] 9u (I24) 482d | [COTXDRE026-BEIG-10A] 9u (I24) 482d | [COTXDRE026-BEIG-5A] 9u (I24) 482d | [COTXDRE026-BEIG-4A] 9u (I24) 482d | [COTXJOG016-GREY-5A] 10u (I24) 110d | [COTXSKI018-BEIG-10A] 12u (I24) 482d | [COTXTSH036-OFFW-5A] 15u (I24) 482d;[COTXDRE024-GREY-10A] 12u (I24) 482d | [COTXSWE017-BEIG-5A] 12u (I24) 482d | [COTXDRE026-BEIG-6A] 9u (I24) 482d | [COTXDRE026-BEIG-6A] 9u (I24) 482d | [COTXDRE026-BEIG-6A] 9u (I24) 482d | [COTXSKI028-PINK-8A] 10u (I25) 110d | [COTXTSH035-OFFW-5A] 12u (I24) 482d | [COTXTSH035-OFFW-4A] 12u (I24) 482d | [COTXHOD014-GREY-5A] 8u (I24) 482d | [COTXSKI029-PINK-8A] 9u (I25) 110d;[COTXJOG020-NAVY-12A] 5u (V25) 279d | [COTXSKI028-PINK-12A] 10u (I25) 110d | [COTXSKI028-PINK-10A] 10u (I25) 110d | [COTXSKI028-PINK-10A] 10u (I25) 110d | [COTXSKI029-PINK-5A] 9u (I25) 110d | [COTXSKI029-PINK-10A] 9u (I25) 110d
