ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;STOCK_EXACTO_BUSQUEDA;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLABD/Stock/StorageBD/CLA-058-03-01-01;GENERIC;V23+V21+V25;1583;5466.95;B+A+C;1183;160;1188;[DFSU903001-BLAC] 50u (V23) 861d;[DFSU903001-TORT] 50u (V23) 861d | [DFSU903001-TORT] 50u (V23) 861d | [DFSU903001-TORT] 50u (V23) 861d | [DFSU901001-GREE] 50u (V23) 868d | [DFSU901001-GREE] 45u (V23) 868d | [DFSU901001-GREE] 50u (V23) 868d | [DFKSUN1513-0802] 50u (V25) 569d;[DFKPCS0016] 100u (V21) 1183d | [DFKPCS0016] 100u (V21) 1183d | [DFKPCS0015] 100u (V21) 1183d | [DFKPCS0015] 97u (V21) 1183d | [DFKPCS0013] 100u (V21) 1183d | [DFKPCS0013] 100u (V21) 1183d | [DFKPCS0012] 100u (V21) 1183d | [DFKPCS0012] 99u (V21) 1183d | [DFKPCS0011] 93u (V21) 1183d | [DFKPCS0011] 100u (V21) 1183d | [DFKPCS0010] 99u (V21) 1183d | [DFKPCS0010] 100u (V21) 1183d;
CLABD/Stock/StorageBD/CLA-062-07-01-02;BLACK;V25+I25+V24+V22;360;577.02;B+A+C;624;80;296;[DFSH370005-CAME-37] 2u (I25) 191d | [DFSH370005-CAME-36] 1u (I25) 191d | [DFSH370005-CAME-41] 1u (I25) 191d | [DFSH370005-CAME-38] 1u (I25) 191d;[DFSH334001-FUCH-38] 10u (V25) 323d | [DFSH334001-FUCH-38] 10u (V25) 323d | [DFSH334001-FUCH-38] 10u (V25) 323d | [DFSH334001-FUCH-38] 10u (V25) 323d | [DFSH334001-FUCH-36] 10u (V25) 323d;[DFSH397001-WHIT-41] 1u (V24) 624d | [DFSH397001-WHIT-42] 2u (V24) 624d | [DFSH397001-WHIT-43] 3u (V24) 624d | [DFSH397001-WHIT-44] 2u (V24) 624d | [DFSH397001-WHIT-45] 1u (V24) 624d | [DFKMAS0104] 296u (V22) 387d;
CLABD/Stock/StorageBD/CLA-054-07-01-02;BLACK;I24+V25;1438;4092.51;A+C+B+D;561;270;271;[DFTXSOC009-BLAC-41-46] 100u (I24) 561d | [DFTXSOC009-BLAC-41-46] 100u (I24) 561d | [DFTXSOC009-BLAC-41-46] 100u (I24) 561d | [DFTXSOC009-BLAC-41-46] 100u (I24) 561d | [DFTXSOC009-BLAC-41-46] 100u (I24) 561d | [DFTXSOC009-BLAC-36-40] 100u (I24) 561d | [DFTXSOC008-BLUE-41-46] 100u (I24) 561d | [DFTXSOC008-BLUE-41-46] 100u (I24) 561d | [DFTXSOC006-BLAC-36-40] 100u (I24) 561d | [DFTXSOC006-BLAC-36-40] 100u (I24) 561d;[DFTXTSH020-WHIT-L] 19u (I24) 448d | [DFTXHOD018-GREY-M] 3u (I24) 448d;[DFTXSOC006-BLAC-41-46] 100u (I24) 561d | [DFTXSOC006-BLAC-41-46] 100u (I24) 561d | [DFTXTSH020-BLACK-M] 18u (I24) 448d | [DFTXTSH020-BLACK-L] 17u (I24) 448d | [DFTXTSH020-BLACK-M] 18u (I24) 448d | [DFTXTSH020-BLACK-M] 18u (I24) 344d | [DFTXTSH020-WHIT-M] 18u (I24) 448d | [DFTXTSH020-WHIT-M] 18u (I24) 448d | [DFTXTSH035-WHIT-S] 20u (V25) 275d | [DFTXTSH031-GREY-L] 5u (V25) 275d | [DFTXTSH026-NAVY-M] 20u (V25) 275d;[DFTXTSH030-BLAC-M] 20u (V25) 275d | [DFTXTSH027-BLAC-S] 20u (V25) 275d | [DFTXTSH026-WHIT-L] 4u (V25) 275d | [DFTXTSH026-BLAC-M] 20u (V25) 275d
CLABD/Stock/StorageBD/CLA-057-08-01-03;BLACK;V25+V21+I24+V23;696;3830.82;A+B+C;1183;100;199;[DFSU932001-BLUE] 50u (V25) 358d | [DFKSUN0571-0003] 50u (V25) 360d | [DFSU940001-BROW] 50u (V25) 295d | [DFSU940001-BLAC] 50u (V25) 295d | [DFSU940001-BLAC] 50u (V25) 295d | [DFSU901003-YELL] 48u (V23) 881d;[DFSU940001-TRAN] 50u (V25) 295d | [DFKSUN0844-0800] 50u (V21) 1183d | [DFKBLU0192] 49u (I24) 1168d | [DFKBLU0192] 50u (I24) 1168d;[DFKBLU0010] 50u (V21) 1157d | [DFKBLU0010] 50u (V21) 1157d | [DFKBLU0010] 50u (V21) 1157d | [DFKBLU0010] 49u (V21) 1157d;
CLABD/Stock/StorageBD/CLA-054-06-01-02;BLACK;I24+I22+I23+I25;911;3016.23;C+A;561;220;196;[DFTXSOC005-BLAC-41-46] 100u (I24) 561d | [DFTXSOC005-BLAC-41-46] 100u (I24) 561d | [DFACGL2303-GREE] 31u (I23) 388d;;[DFTXSOC011-ORAN-41-46] 100u (I24) 561d | [DFTXSOC011-ORAN-41-46] 100u (I24) 561d | [DFTXSOC011-ORAN-41-46] 100u (I24) 561d | [DFKCOR0504-0011] 99u (I22) 388d | [DFTXTSH039-BURG-M] 20u (I25) 94d | [DFTXTSH039-BURG-S] 20u (I25) 94d | [DFTXTSH039-BLAC-M] 19u (I25) 94d | [DFTXTSH039-BLAC-M] 18u (I25) 94d | [DFTXTSH039-BLAC-M] 19u (I25) 94d | [DFTXTSH039-BLAC-S] 19u (I25) 94d | [DFTXTSH038-ANTR-L] 20u (I25) 94d | [DFTXTSH038-ANTR-M] 9u (I25) 94d | [DFTXTSH038-ANTR-M] 20u (I25) 94d | [DFTXTSH038-ANTR-M] 20u (I25) 94d | [DFTXTSH037-WHIT-M] 16u (I25) 94d | [DFTXTSH036-WHIT-L] 20u (I25) 94d | [DFTXTSH036-WHIT-L] 20u (I25) 94d | [DFTXTSH036-WHIT-M] 19u (I25) 94d | [DFTXTSH036-BLAC-L] 22u (I25) 94d;
CLABD/Stock/StorageBD/CLA-070-01-02-02;BLACK;I23+V22+V24+I25;625;2381.60;A+C+B;154;110;146;[DFACGL2301-BLAC] 27u (I23) 154d | [DFACGL2303-WHIT] 23u (I23) 154d | [DFACGL2302-FUCH] 9u (I23) 154d | [DFSH381001-KHAK-41] 6u (I25) 154d | [DFSH381001-KHAK-41] 4u (I25) 154d | [DFSH371008-CAME-37] 3u (I25) 154d;[DFACLY2301-YELL] 49u (V24) 154d | [DFACGL2302-TEAL] 90u (I23) 154d;[DFKMAS0020-RED] 82u (V22) 154d | [DFKMAS0020-GREE] 166u (V22) 154d | [DFKMAS0020-GREY] 102u (V22) 154d | [DFKMAS0020-BLAC] 64u (V22) 154d;
CLAWD/Stock/StorageWD/CLA-048-07-01-03;WHITE;V25;600;0.00;A+C;304;120;100;[KASU000002-BROW] 50u (V25) 219d | [KASU000002-BROW] 50u (V25) 219d | [KASU000002-BROW] 50u (V25) 219d | [KASU000002-BROW] 50u (V25) 219d | [KASU000002-BROW] 50u (V25) 219d | [KASU000002-LIGH] 50u (V25) 219d | [KASU000003-BLUE] 50u (V25) 304d | [KASU000003-BLUE] 50u (V25) 304d | [KASU000003-BLUE] 50u (V25) 304d;;[KASU000003-GREE] 50u (V25) 304d | [KASU000003-GREE] 50u (V25) 304d | [KASU000001-MILK] 50u (V25) 304d;
CLAWD/Stock/StorageWD/CLA-049-03-01-01;WHITE;I18+V24+V22+V25;979;7042.71;B+A+C;248;200;100;[KLABOT03-0020-S] 50u (V22) 248d;[II2AWAT103-0001-UNI] 29u (I18) 189d | [KLATOP21-0020-XL] 50u (V24) 248d | [KLATOP21-0020-S] 50u (V24) 248d | [KLATOP21-0020-S] 50u (V24) 248d | [KLATOP21-0020-S] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KLATOP21-0020-L] 50u (V24) 248d | [KLATOP21-0020-L] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KLATOP21-0020-S] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KLATOP21-0020-M] 50u (V24) 248d | [KASU000004-ROSE] 50u (V25) 219d | [KLATOP21-0005-M] 50u (V24) 212d | [KLATOP15-0314-L] 50u (V24) 212d;[KLABOT01-0020-L] 50u (V22) 248d | [KLABOT01-0020-M] 50u (V22) 248d;
CLABD/Stock/StorageBD/CLA-066-04-01-02;BLACK;I25+V24+V25;185;1330.15;A+B+C;155;100;74;[DFSH370006-BLAC-36] 1u (I25) 155d | [DFSH370005-CAME-37] 1u (I25) 155d | [DFSH370012-TAUP-37] 1u (I25) 155d | [DFSH370004-BLAC-37] 3u (I25) 155d | [DFSH370004-BLAC-36] 1u (I25) 155d | [DFSH371004-TAN-36] 1u (I25) 155d | [DFSH371004-BLAC-37] 1u (I25) 155d | [DFSH371008-BLAC-36] 1u (I25) 155d | [DFSH370004-BLAC-37] 2u (I25) 155d | [DFSH370004-BLAC-36] 1u (I25) 155d | [DFSH370004-BLAC-37] 3u (I25) 155d | [DFSH370006-BLAC-37] 2u (I25) 155d | [DFSH370004-BLAC-36] 1u (I25) 155d | [DFSH370005-CAME-37] 1u (I25) 155d;[DFSH371008-CAME-36] 1u (I25) 155d | [DFSH361007-BLAC-36] 2u (V24) 41d | [DFSH361007-BLAC-37] 2u (V24) 41d | [DFSH361007-BLAC-38] 1u (V24) 41d | [DFSH361007-BLAC-39] 1u (V24) 41d | [DFSH361009-GREE-36] 1u (V25) 41d | [DFSH361009-LIME-38] 1u (V25) 41d;[DFSH392001-SILV-41] 1u (V24) 41d | [DFSH392001-BLAC-38] 4u (V24) 41d | [DFSH392001-BLAC-40] 2u (V24) 41d | [DFSH392001-WHIT-39] 2u (V24) 41d | [DFSH392001-BLAC-37] 3u (V24) 41d | [DFSH392001-WHIT-37] 2u (V24) 41d | [DFSH392001-BLAC-39] 2u (V24) 41d | [DFSH392001-SILV-36] 1u (V24) 41d | [DFSH392001-SILV-39] 1u (V24) 41d | [DFSH392001-SILV-40] 1u (V24) 41d | [DFSH392001-BLAC-36] 1u (V24) 41d | [DFSH392001-SILV-36] 2u (V24) 41d | [DFSH392001-BLAC-39] 1u (V24) 41d | [DFSH392001-BLAC-38] 6u (V24) 41d | [DFSH392001-WHIT-39] 1u (V24) 41d | [DFSH392001-WHIT-40] 1u (V24) 41d | [DFSH392001-SILV-38] 1u (V24) 41d | [DFSH392001-BLAC-37] 3u (V24) 41d | [DFSH392001-SILV-39] 2u (V24) 41d | [DFSH392001-SILV-37] 1u (V24) 41d | [DFSH392001-BLAC-40] 3u (V24) 41d | [DFSH392001-BLAC-36] 2u (V24) 41d | [DFSH392001-WHIT-37] 1u (V24) 41d | [DFSH392001-SILV-40] 3u (V24) 41d | [DFSH392001-WHIT-37] 2u (V24) 41d | [DFSH392001-BLAC-36] 2u (V24) 41d | [DFSH392001-SILV-37] 1u (V24) 41d | [DFSH392001-SILV-41] 1u (V24) 41d | [DFSH392001-BLAC-38] 3u (V24) 41d | [DFSH392001-WHIT-39] 2u (V24) 41d | [DFSH392001-SILV-36] 1u (V24) 41d | [DFSH392001-BLAC-39] 1u (V24) 41d | [DFSH392001-WHIT-38] 3u (V24) 41d | [DFSH392001-BLAC-37] 1u (V24) 41d | [DFSH392001-WHIT-40] 2u (V24) 41d | [DFSH392001-SILV-39] 1u (V24) 41d | [DFSH392001-BLAC-40] 1u (V24) 41d | [DFSH392001-SILV-40] 4u (V24) 41d | [DFSH392001-BLAC-37] 2u (V24) 41d | [DFSH392001-WHIT-38] 2u (V24) 41d | [DFSH392001-BLAC-39] 3u (V24) 41d | [DFSH392001-BLAC-36] 2u (V24) 41d | [DFSH392001-WHIT-40] 2u (V24) 41d | [DFSH392001-SILV-39] 2u (V24) 41d | [DFSH392001-BLAC-38] 2u (V24) 41d | [DFSH392001-SILV-37] 2u (V24) 41d | [DFSH392001-WHIT-39] 1u (V24) 41d | [DFSH392001-BLAC-40] 1u (V24) 41d | [DFSH392001-SILV-41] 1u (V24) 41d | [DFSH392001-BLAC-38] 3u (V24) 41d | [DFSH392001-WHIT-40] 1u (V24) 41d | [DFSH361003-NAVY-44] 1u (V24) 41d | [DFSH392001-BLAC-40] 2u (V24) 41d | [DFSH392001-WHIT-38] 2u (V24) 41d | [DFSH392001-BLAC-39] 2u (V24) 41d | [DFSH392001-SILV-37] 1u (V24) 41d | [DFSH392001-SILV-36] 2u (V24) 41d | [DFSH392001-SILV-40] 1u (V24) 41d | [DFSH392001-SILV-39] 3u (V24) 41d | [DFSH392001-SILV-37] 2u (V24) 41d | [DFSH392001-WHIT-40] 2u (V24) 41d | [DFSH392001-WHIT-39] 2u (V24) 41d | [DFSH392001-BLAC-39] 3u (V24) 41d | [DFSH392001-SILV-40] 1u (V24) 41d | [DFSH392001-SILV-36] 1u (V24) 41d | [DFSH392001-WHIT-38] 2u (V24) 41d | [DFSH392001-BLAC-38] 5u (V24) 41d | [DFSH392001-BLAC-40] 1u (V24) 41d | [DFSH392001-WHIT-36] 1u (V24) 41d | [DFSH392001-BLAC-37] 1u (V24) 41d | [DFSH392001-SILV-39] 4u (V24) 41d | [DFSH392001-BLAC-40] 2u (V24) 41d | [DFSH392001-WHIT-41] 1u (V24) 41d | [DFSH392001-SILV-40] 2u (V24) 41d | [DFSH392001-BLAC-37] 1u (V24) 41d | [DFSH392001-BLAC-39] 5u (V24) 41d | [DFSH392001-BLAC-36] 3u (V24) 41d | [DFSH392001-SILV-38] 2u (V24) 41d | [DFSH392001-BLAC-38] 1u (V24) 41d | [DFSH392001-WHIT-38] 1u (V24) 41d | [DFSH392001-WHIT-40] 2u (V24) 41d | [DFSH392001-SILV-41] 1u (V24) 41d;
CLABD/Stock/StorageBD/CLA-069-08-02-01;BLACK;I25;96;1142.37;B+A+C;149;80;63;[DFSH321100-WHIT-38] 3u (I25) 149d | [DFSH321100-WHIT-39] 3u (I25) 149d;[DFSH321100-WHIT-36] 1u (I25) 149d | [DFSH321100-WHIT-37] 2u (I25) 149d | [DFSH321100-WHIT-40] 2u (I25) 149d | [DFSH321100-WHIT-41] 1u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d | [DFSH321100-BLAC-38] 3u (I25) 149d;[DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d | [DFSH321100-BLAC-36] 1u (I25) 149d | [DFSH321100-BLAC-37] 2u (I25) 149d | [DFSH321100-BLAC-39] 3u (I25) 149d | [DFSH321100-BLAC-40] 2u (I25) 149d | [DFSH321100-BLAC-41] 1u (I25) 149d;
